Name,Ticker,"Sub-Sector","Market Cap","PE Ratio","Sector PE","PB Ratio","Sector PB","Face value","Debt to Equity","Total Assets","Return on Assets","Total Liabilities","1D Return","1W Return","1M Return","6M Return","1Y Return","Return on Investment","Return on Equity","Dividend Yield"
Berger Paints India Ltd,BERGEPAINT,"Paints","52624.033651859994","45.064854892236234","27.331800970477047","9.7647752161947","3.1092469554193976","1","0.13977848165858567","8367.8","14.298089714776548","2978.6299999999997","-2.050558750135629","0.3921141487855378","-2.475928473177439","-13.300681840007684","-25.10991289921195","20.284869579940302","23.611146214450308","0.7753655294638901"
PI Industries Ltd,PIIND,"Diversified Chemicals","51583.64895687","30.67716262674398","27.331800970477047","5.908103190570381","3.1092469554193976","1","0.02183025999312794","10743.8","17.494212812443102","2012.8000000000002","-5.926130861806607","-1.125654808310426","-10.921346099343218","-12.065376210610697","-1.7736950053441847","19.336217718794835","21.111773753099595","0.4416943045082033"
United Breweries Ltd,UBL,"Alcoholic Beverages","51412.259197305","125.38657951199916","50.78773731207607","12.28911721053481","9.976155395295928","1","0.02438831999541061","7053.369999999999","6.150253191897858","2869.8099999999995","-4.190687361419067","-4.5592419290366495","3.324508705834434","-5.988009476381576","6.513105639396351","9.728415457381596","10.05830939549077","0.5142842449021574"
L&T Technology Services Ltd,LTTS,"Software Services","51381.29502933","39.41190076653376","35.94234348068758","9.607931304336363","9.469682682020355","2","0.12319084483338942","8483.099999999999","15.644180981466242","3135.2999999999984","-1.6725254019227311","2.6677621999417567","-8.514365152919376","-2.753231139164405","-10.86479388023104","22.551859621083448","26.6042221473976","1.0291083743571712"
Linde India Ltd,LINDEINDIA,"Commodity Chemicals","51357.732669485","118.31125496898092","27.331800970477047","14.807198839095786","3.1092469554193976","10","0.005965234991047823","4805.23","9.431603007492674","1336.7999999999997","-6.444972657220985","2.391651886199689","-3.6450458811730013","-30.828695647179774","8.737732595408124","12.649607924061097","13.137263506407644","0.19927100025739172"
Page Industries Ltd,PAGEIND,"Apparel & Accessories","51209.220153840004","89.96858720961363","36.74099419741881","32.06749251924956","6.522931535973459","10","0.11575407659745011","2682.58","21.177665578991636","1085.66","-1.784020083195094","-2.4939926409851947","-1.68538853216508","13.245793513074846","22.055815128172746","34.46460542045271","38.355638216148485","0.8058965490202911"
One 97 Communications Ltd,PAYTM,"Online Services","50345.81856871","-35.529864903817916","-125.56801217225464","3.785855333627354","11.399967014116141","1","0.013279793057811467","17139.1","-8.072947081461566","3840.7","-6.842043175651763","-14.026369168356995","-10.622594759871369","68.14649206856171","10.571268552226266","-10.322820037105755","-10.779231152510528",
Balkrishna Industries Ltd,BALKRISIND,"Tires & Rubber","50180.30959425","34.1016993620412","36.74099419741881","5.6676451062083935","6.522931535973459","2","0.3500681061959697","13684.539999999999","11.305152849163727","4830.719999999999","-5.009789032624012","-3.5081214689265505","-2.4123276908792133","-17.754507144894013","-3.1111194057705913","13.259479004054121","17.933244976615935","0.6163921795242223"
Fortis Healthcare Ltd,FORTIS,"Hospitals & Diagnostic Centres","50034.8512587","83.5473738623764","49.44747752411902","5.8478298927670656","6.4086021055656035","10","0.13499194730334008","12971.37","4.7794336233889645","4415.230000000001","-3.5579161816065255","-6.7001561333242705","-4.898975920287846","36.340259205924696","60.007242877836795","7.515381803390951","7.190933525770377","0.15088645794039984"
Jindal Stainless Ltd,JSL,"Iron & Steel","49953.38781632","18.411176361697034","27.331800970477047","3.475131904578446","3.1092469554193976","2","0.42104054880403063","30764.85","9.375240258650905","16390.32","-3.061306050675402","-8.531949115367746","-17.359138648523693","-23.187028944201668","2.7535372362958572","15.996639706973045","20.599800319640416","0.49452176758929256"
Schaeffler India Ltd,SCHAEFFLER,"Auto Parts","49792.0971152","55.384860309225616","36.74099419741881","10.36180447109992","6.522931535973459","2","0.010633980875482537","6266.51","14.992124723698282","1461.16","-4.139145088244592","-3.955202312138726","-8.483421458471021","-19.86617530531903","-1.9430510475066365","18.611949057439066","19.777698336312383","0.8161727774987445"
Motilal Oswal Financial Services Ltd,MOTILALOFS,"Diversified Financials","49515.394986","20.284382598543246","16.376340337400556","5.646808433822876","2.2787858595073875","1","1.5723444873493797","31770.949999999997","8.921967053495038","23002.21","-5.904794442546409","-10.214723926380366","-12.6181709622848","55.80803318876109","114.38069600752439","10.822114698296085","32.43519763591623","0.4213037328268966"
Sundaram Finance Ltd,SUNDARMFIN,"Consumer Finance","49129.2576675","34.21209848574533","16.376340337400556","4.434760969496905","2.2787858595073875","10","4.724062168832177","64276.04","2.386368838910631","53197.82","-2.6612815194847643","-1.5422644956741363","6.552991532520699","4.90576692313122","25.83445509738744","2.26457214533052","12.10470083218659","0.6729023817892801"
GE Vernova T&D India Ltd,GVT&D,"Heavy Electrical Equipments","48994.50447225","270.613115008285","42.97729885593176","39.41823778480861","6.243671579386337","2","0.03364603279321608","3584.3900000000003","4.9849597665150025","2341.4500000000007","-3.5728683733118367","-2.424153021586269","2.552971576227395","14.348033942870797","206.1355091592673","17.27560011208319","15.637078142206292","0.10452051215050953"
MRF Ltd,MRF,"Tires & Rubber","47926.52753434","23.0280929139351","36.74099419741881","2.8693090130454357","6.522931535973459","10","0.16892013247792634","26849.43","8.126775225678672","10146.27","-3.501785370423267","-7.438135745275845","-11.226527303036292","-13.909639396366881","-16.87911429951125","12.50854048162682","13.25154452360289","0.17698519872783042"
Procter & Gamble Hygiene and Health Care Ltd,PGHH,"FMCG - Personal Products","47739.03061312","70.72239431886457","50.78773731207607","61.60987870469505","9.976155395295928","10","0.00397491159693364","1858.5600000000004","33.78579937335458","1083.7000000000005","-0.38641943950554075","-0.11602811736768151","-6.56416228138182","-12.594608890486946","-14.83658389697025","90.2126127979022","78.45010430649262","1.7339035949601203"
UPL Ltd,UPL,"Fertilizers & Agro Chemicals","47435.311848540005","-39.529426540450004","27.331800970477047","1.4503550372573843","3.1092469554193976","2","0.9097413318657127","85140","-1.4014189366733818","52434","-2.769426983693185","4.542857142857147","0.3198683970023761","-1.5717038597416286","-2.039790869127267","4.245917387127761","-3.522418727526235","0.15823815882072728"
Petronet LNG Ltd,PETRONET,"Oil & Gas - Storage & Transportation","47235.00277112","12.93245139444316","11.4761859396851","2.7130789392554098","1.495364798157567","10","0.17277891983450994","25548.76","15.102631353701799","8138.649999999996","-1.7012642422350694","-3.1590084643288963","-6.467153284671526","-10.002857959416977","35.58665231431646","19.306834438474297","22.35640023296335","3.175611305176246"
Fsn E-Commerce Ventures Ltd,NYKAA,"Wellness Services","47042.049890882","1458.21605365412","36.74099419741881","36.721765043154","6.522931535973459","1","0.7567991631799164","3400.64","1.0159637956608982","2119.6","-3.0406599882144945","-3.3048433048433115","0.3845016267376381","-8.847155282255832","-8.512649430080625","5.146343305799082","2.4135776837584824",
Tata Communications Ltd,TATACOMM,"Telecom Services","46520.55","48.04154532498917","-125.56801217225464","25.984779087303817","11.399967014116141","10","6.291219348712506","24365.44","4.3147839745125","22575.14","-5.038105765315035","-0.8508061027312317","-6.662684622067758","-12.76487721454721","-6.885339418140333","12.35296055378378","58.00353409805623","1.0230962445628866"
Jubilant Foodworks Ltd,JUBLFOOD,"Restaurants & Cafes","46460.19545316","116.34536712283021","36.74099419741881","20.711293738564486","6.522931535973459","2","1.8753583003080383","8037.529999999999","5.951413112244964","5794.299999999999","-4.124830393487107","-4.657179818887451","9.713435057685151","22.069620799861795","32.58279388310347","10.652564537859188","18.655834357232706","0.1704285210763453"
UCO Bank,UCOBANK,"Public Banks","46102.174726656","27.58049398860704","16.376340337400556","1.6940740237451686","2.2787858595073875","10","0","323548.45999999996","0.5355380973257783","296334.67","-5.76735092864125","-10.046163992086173","-15.715756951596283","-31.619081397410884","-7.418967587034806",,"6.329532130360594","0.7261410788381742"
Federal Bank Ltd,FEDERALBNK,"Private Banks","46073.759728412","11.873333881830927","16.376340337400556","1.4898148159131694","2.2787858595073875","2","0","318376.08","1.322520905943384","287450.25","-0.7297726070861954","-8.038710304916599","-11.078717201166182","-3.609756097560976","22.73291925465839",,"14.533425992144975","0.6342916104148216"
Container Corporation of India Ltd,CONCOR,"Logistics","44381.00030832","35.2065305200898","42.97729885593176","3.713661271881072","6.243671579386337","5","0.07652078448698575","14038.16","9.166767259997643","2087.42","-2.9123625458180635","-4.566558544806968","-8.684274586173322","-31.04558148340985","-19.178918169209435","10.35598303021635","10.828215602254478","1.5788028555738607"
Aditya Birla Capital Ltd,ABCAPITAL,"Diversified Financials","44268.909487088","13.274115433102445","16.376340337400556","1.5458219696878739","2.2787858595073875","10","3.845945460856253","231623.28999999998","1.6190174277226967","202985.50999999998","1.3183797649585445","-9.389189189189192","-14.951801116184678","-25.002207895434072","-5.196762489533911","2.4031194767552466","13.218874763787994",
Biocon Ltd,BIOCON,"Biotechnology","43738.34073312","42.775883357574635","49.44747752411902","1.7305118431449504","6.4086021055656035","5","0.6439892699447671","55753.399999999994","1.9024105262374478","30478.59999999999","1.1774484000554093","-2.5644486435416387","1.390449438202244","1.6845329249617185","29.918178584133745","4.805843351022222","4.281503069282878","0.13724800482553162"
IDFC First Bank Ltd,IDFCFIRSTB,"Private Banks","43432.608778844","14.761197267097408","16.376340337400556","1.3457640037604763","2.2787858595073875","10","0","296390.45999999996","1.0970736933670904","264116.88999999996","-1.7552574929624147","-8.486134262767077","-6.2267080745341685","-24.091606960081883","-31.608069164265128",,"10.124890917449616",
360 One Wam Ltd,360ONE,"Investment Banking & Brokerage","42786.154372545","53.20271368491441","16.376340337400556","12.40275452645424","2.2787858595073875","1","2.7457018375351114","15114.359999999999","6.114486675002194","11664.629999999997","-2.404570011513583","-14.205387333308009","-5.2649242773839","11.601174802511654","66.82310196048749","6.223735959621286","24.45830931986247","1.3839134754769018"
CRISIL Ltd,CRISIL,"Stock Exchanges & Ratings","42461.63432775","64.48823632791142","16.376340337400556","19.395427828467156","2.2787858595073875","1","0.02161460950275436","3314.52","21.428292479725066","1125.2600000000002","2.302819941328319","-7.079182390451954","2.2823932240043185","28.518780849509746","41.9419896593451","29.60323350830285","33.07713174789764","0.929812225202027"
Glenmark Pharmaceuticals Ltd,GLENMARK,"Pharmaceuticals","42240.745071640005","-28.129179561181886","49.44747752411902","5.382666573852989","6.4086021055656035","1","0.15685532427318083","14358.34","-8.904191018487964","6510.790000000002","-2.905883116040731","-5.706422018348622","1.407616917713615","6.302595604161488","64.41320226261739","-10.857544434751194","-16.980666959917045","0.1670118244371701"
AU Small Finance Bank Ltd,AUBANK,"Consumer Finance","41699.370395540005","27.170669826118143","16.376340337400556","3.3201378073494796","2.2787858595073875","10","0","109425.65999999999","1.537473846279763","96866.12999999999","-2.5819351473528687","-2.160415071872084","-2.185374149659868","-12.569243972848572","-27.426980117868016",,"13.04098079269639","0.16047303464120669"
Steel Authority of India Ltd,SAIL,"Iron & Steel","41342.427617601","13.481211743552752","27.331800970477047","0.7240199137146607","3.1092469554193976","10","0.6361097650611027","141022.21","2.2565248786932224","83920.97999999998","-5.602188059983021","-7.437800087298119","-16.787003610108304","-34.164309675721896","-12.699520279110336","5.930528682816433","5.483642921892785","1.9982016185433111"
Bank of India Ltd,BANKINDIA,"Public Banks","41133.35416931","6.266068217234941","16.376340337400556","0.5814553372457147","2.2787858595073875","10","0","925922.26","0.7484825377572218","855180.19","-4.158268802376155","-11.133107088989444","-16.27886323268206","-26.97219527966376","-30.97784568372804",,"9.996776859296448","3.09956232898521"
Apar Industries Ltd,APARINDS,"Electrical Components & Equipments","41096.805601225","49.807668797160375","42.97729885593176","10.601687528047643","6.243671579386337","10","0.12269247041099565","9615.759999999998","9.253530311925763","5739.319999999999","-3.4441917309198735","-4.312489558546633","6.493467336683421","15.856910716408946","91.26683678715311","28.88707620546639","26.99600675955327","0.4984776882364153"
Gujarat Fluorochemicals Ltd,FLUOROCHEM,"Specialty Chemicals","40974.05","94.20188063270183","27.331800970477047","6.902241111526632","3.1092469554193976","1","0.353071084203398","9233.07","4.941553653734513","3296.7300000000005","-1.7347893093773439","-7.074923191794069","-12.756128112897489","13.422124916377793","9.124952458968435","7.072080315825252","7.5928728661628755","0.08042895442359248"
Thermax Limited,THERMAX,"Industrial Machinery","40953.3257959","63.4659772438322","42.97729885593176","9.224137527794046","6.243671579386337","2","0.28772241992882563","10140.73","6.800857695572868","5700.93","-3.491844399909744","-10.216751468643135","-20.74159785409983","-29.66892669574721","14.556682840758711","12.818620205938881","15.530167195746802","0.3299973688914171"
Bharat Dynamics Ltd,BDL,"Aerospace & Defense Equipments","40921.2046875","66.78614161036036","42.97729885593176","11.251919173206264","6.243671579386337","5","0.002221721173992664","10426.079999999998","6.388612438046194","6789.259999999998","-7.005706193510779","4.847373247740076","-1.5176996595430492","-31.459708365310824","27.168650680640187","16.90910587396088","17.894023643754966","0.47252205849419987"
Housing and Urban Development Corporation Ltd,HUDCO,"Specialized Finance","40704.6327","19.230323146044057","16.376340337400556","2.4502323964518418","2.2787858595073875","10","4.454214160851789","93422.34000000001","2.427513571323759","76809.78000000001","-5.070264718240808","-12.899028099711277","-12.707339935607454","-39.44005956813105","52.99473288186607","2.336084290583904","13.206152210560731","2.0410170658535387"
Central Bank of India Ltd,CENTRALBK,"Public Banks","40687.563117784004","15.251983220608109","16.376340337400556","1.253832001033695","2.2787858595073875","10","0","448610.69999999995","0.6229292507266936","416160.12999999995","-6.147376852222667","-9.463379260333573","-15.556307067974302","-28.519139850541404","-10.808753568030447",,"8.642445461306055",
ITI Ltd,ITI,"Telecom Equipments","40414.90461228","-71.03793962645017","-125.56801217225464","22.649650916176753","11.399967014116141","10","1.0065626138369714","9640.04","-5.935081524956663","7855.6900000000005","-4.99209396882764","-8.191621733720448","21.754675467546743","31.87019909076659","33.396764985727884","-9.147835024480425","-27.359683756450124",
Nippon Life India Asset Management Ltd,NAM-INDIA,"Asset Management","40293.04576352","36.3878966906766","16.376340337400556","10.118338639519058","2.2787858595073875","10","0","4375.04","26.88991555315415","392.86","-4.763331336129429","-12.503276539973784","-13.321215268761362","-5.281191806331478","25.02212171861173","27.806879648835555","29.537158183522916","2.57984444909133"
IPCA Laboratories Ltd,IPCALAB,"Pharmaceuticals","40076.38679637","73.21893997692514","49.44747752411902","5.186538992671154","6.4086021055656035","1","0.18614727578620424","11097.05","5.551242373824226","3370.05","-3.2284742855392423","-5.3655284364311076","5.004663729053421","28.683149362551436","38.62050809530079","7.507615631028135","8.024294987949268","0.25322065014401923"
Astral Ltd,ASTRAL,"Building Products - Pipes","39529.60007805","72.38527756464029","42.97729885593176","12.094110472097295","6.243671579386337","1","0.03653051858650758","4495.799999999999","12.330236286252932","1227.2999999999997","-5.938378931219642","-3.432098765432093","-14.166575222210021","-34.96420047732696","-18.37470531132991","16.978069010301343","17.53861964864949","0.25482003182706875"
APL Apollo Tubes Ltd,APLAPOLLO,"Building Products - Pipes","39522.27315924","53.959741629676294","42.97729885593176","10.964338310068742","6.243671579386337","2","0.31743984109281975","7186.79","11.235103639858174","3582.169999999999","-6.352337739199062","-6.019405475557744","-5.148916263839075","-8.137397194000973","-8.394442300270166","17.81118455548368","22.16080227163043","0.3862088336493223"
Kaynes Technology India Ltd,KAYNES,"Electrical Components & Equipments","39336.85854195","214.6154102348737","42.97729885593176","15.807648290696696","6.243671579386337","10","0.12961779728106024","3265.18","7.827420098734221","776.71","-7.898266727614708","-11.693511031114749","1.773933999893231","51.83075972822731","122.38365781283925","8.507943735725823","10.629142721278583",
KEI Industries Ltd,KEI,"Cables","38168.006309775","65.72305387914547","42.97729885593176","12.123485695246917","6.243671579386337","2","0.05280042690112347","4656.459999999999","13.78346240841526","1508.1899999999991","-4.371506206533327","-3.598010593244779","-7.980305333421453","-13.593346096023028","38.638852932390726","18.845979785789737","20.243871831339444","0.08270631964320195"
